DAT,CPI
1958-01-01,3.71287100000000000
1958-02-01,2.72277200000000000
1958-03-01,2.72277200000000000
1958-04-01,1.69902900000000000
1958-05-01,2.89156600000000000
1958-06-01,3.54609900000000000
1958-07-01,6.14657200000000000
1958-08-01,6.08899300000000000
1958-09-01,6.27907000000000000
1958-10-01,8.66510600000000000
1958-11-01,7.20930200000000000
1958-12-01,5.15222500000000000
1959-01-01,5.48926000000000000
1959-02-01,7.46988000000000000
1959-03-01,6.50602400000000000
1959-04-01,5.48926000000000000
1959-05-01,5.15222500000000000
1959-06-01,4.33790000000000000
1959-07-01,4.23162600000000000
1959-08-01,4.19426100000000000
1959-09-01,2.40700200000000000
1959-10-01,2.58620700000000000
1959-11-01,3.25379600000000000
1959-12-01,4.23162600000000000
1960-01-01,4.29864300000000000
1960-02-01,3.36322900000000000
1960-03-01,3.39366500000000000
1960-04-01,4.29864300000000000
1960-05-01,3.34075700000000000
1960-06-01,2.40700200000000000
1960-07-01,1.70940200000000000
1960-08-01,0.84745760000000000
1960-09-01,0.85470090000000000
1960-10-01,-0.84033610000000000
1960-11-01,-1.68067200000000000
1960-12-01,0.00000000000000000
1961-01-01,0.65075920000000000
1961-02-01,0.65075920000000000
1961-03-01,2.40700200000000000
1961-04-01,1.51843800000000000
1961-05-01,0.86206900000000000
1961-06-01,0.85470090000000000
1961-07-01,0.84033610000000000
1961-08-01,1.47058800000000000
1961-09-01,2.33050800000000000
1961-10-01,2.33050800000000000
1961-11-01,3.20512800000000000
1961-12-01,3.20512800000000000
1962-01-01,3.44827600000000000
1962-02-01,3.44827600000000000
1962-03-01,2.56410300000000000
1962-04-01,3.20512800000000000
1962-05-01,4.05982900000000000
1962-06-01,4.02542400000000000
1962-07-01,3.75000000000000000
1962-08-01,3.93374800000000000
1962-09-01,3.93374800000000000
1962-10-01,4.76190500000000000
1962-11-01,3.93374800000000000
1962-12-01,2.48447200000000000
1963-01-01,2.29166700000000000
1963-02-01,1.45833300000000000
1963-03-01,2.29166700000000000
1963-04-01,2.48447200000000000
1963-05-01,2.25872700000000000
1963-06-01,3.05499000000000000
1963-07-01,2.40963900000000000
1963-08-01,2.39043800000000000
1963-09-01,2.98804800000000000
1963-10-01,2.96442700000000000
1963-11-01,3.78486100000000000
1963-12-01,6.86868700000000000
1964-01-01,7.73930700000000000
1964-02-01,10.06160000000000000
1964-03-01,9.97963300000000000
1964-04-01,9.89899000000000000
1964-05-01,11.44578000000000000
1964-06-01,11.85771000000000000
1964-07-01,14.11765000000000000
1964-08-01,14.59144000000000000
1964-09-01,16.05416000000000000
1964-10-01,18.23417000000000000
1964-11-01,18.23417000000000000
1964-12-01,17.01323000000000000
1965-01-01,17.76938000000000000
1965-02-01,14.17910000000000000
1965-03-01,11.11111000000000000
1965-04-01,11.02941000000000000
1965-05-01,9.54954900000000000
1965-06-01,8.83392200000000000
1965-07-01,8.93470800000000000
1965-08-01,8.99830200000000000
1965-09-01,8.33333300000000000
1965-10-01,5.51948100000000000
1965-11-01,6.00649400000000000
1965-12-01,5.49273000000000000
1966-01-01,4.81540900000000000
1966-02-01,7.35294100000000000
1966-03-01,9.50000000000000000
1966-04-01,9.43708600000000000
1966-05-01,12.33553000000000000
1966-06-01,13.47403000000000000
1966-07-01,11.98738000000000000
1966-08-01,11.68224000000000000
1966-09-01,10.92308000000000000
1966-10-01,11.53846000000000000
1966-11-01,12.25115000000000000
1966-12-01,13.93568000000000000
1967-01-01,13.93568000000000000
1967-02-01,13.85084000000000000
1967-03-01,14.91629000000000000
1967-04-01,15.43116000000000000
1967-05-01,13.90922000000000000
1967-06-01,14.02003000000000000
1967-07-01,13.23944000000000000
1967-08-01,13.24965000000000000
1967-09-01,12.06657000000000000
1967-10-01,12.96552000000000000
1967-11-01,11.32333000000000000
1967-12-01,8.60215100000000000
1968-01-01,11.69355000000000000
1968-02-01,9.49197900000000000
1968-03-01,6.49006600000000000
1968-04-01,5.89777200000000000
1968-05-01,2.95629800000000000
1968-06-01,1.38017600000000000
1968-07-01,0.00000000000000000
1968-08-01,1.23152700000000000
1968-09-01,2.35148500000000000
1968-10-01,1.46520100000000000
1968-11-01,-0.36764710000000000
1968-12-01,-2.22772300000000000
1969-01-01,-5.53550000000000000
1969-02-01,-4.63980500000000000
1969-03-01,-2.36318400000000000
1969-04-01,-2.22772300000000000
1969-05-01,-0.24968790000000000
1969-06-01,1.73267300000000000
1969-07-01,2.86069700000000000
1969-08-01,0.60827250000000000
1969-09-01,0.00000000000000000
1969-10-01,-1.08303200000000000
1969-11-01,0.61500610000000000
1969-12-01,3.54430400000000000
1970-01-01,4.20382200000000000
1970-02-01,4.73751600000000000
1970-03-01,5.35031800000000000
1970-04-01,5.82278500000000000
1970-05-01,5.75719600000000000
1970-06-01,4.01459800000000000
1970-07-01,3.86940700000000000
1970-08-01,4.47400200000000000
1970-09-01,4.95767800000000000
1970-10-01,6.20438000000000000
1970-11-01,6.72371600000000000
1970-12-01,5.01222500000000000
1971-01-01,3.91198000000000000
1971-02-01,3.91198000000000000
1971-03-01,2.78113700000000000
1971-04-01,1.67464100000000000
1971-05-01,0.59171600000000000
1971-06-01,1.05263200000000000
1971-07-01,2.21187400000000000
1971-08-01,3.70370400000000000
1971-09-01,4.26267300000000000
1971-10-01,3.66552100000000000
1971-11-01,4.23825900000000000
1971-12-01,4.88940600000000000
1972-01-01,5.41176500000000000
1972-02-01,4.82352900000000000
1972-03-01,5.41176500000000000
1972-04-01,6.00000000000000000
1972-05-01,6.47058800000000000
1972-06-01,7.40740700000000000
1972-07-01,7.85877000000000000
1972-08-01,6.69642900000000000
1972-09-01,6.18784500000000000
1972-10-01,6.62983400000000000
1972-11-01,6.59340700000000000
1972-12-01,7.65815800000000000
1973-01-01,8.25892800000000000
1973-02-01,10.43771000000000000
1973-03-01,11.38393000000000000
1973-04-01,13.31853000000000000
1973-05-01,16.35359000000000000
1973-06-01,15.94828000000000000
1973-07-01,18.47941000000000000
1973-08-01,19.35147000000000000
1973-09-01,19.25078000000000000
1973-10-01,21.55440000000000000
1973-11-01,23.29897000000000000
1973-12-01,23.81443000000000000
1974-01-01,25.67010000000000000
1974-02-01,25.30488000000000000
1974-03-01,27.25451000000000000
1974-04-01,28.01175000000000000
1974-05-01,28.96486000000000000
1974-06-01,29.18216000000000000
1974-07-01,28.07487000000000000
1974-08-01,29.97371000000000000
1974-09-01,34.64223000000000000
1974-10-01,31.88406000000000000
1974-11-01,27.84281000000000000
1974-12-01,25.39550000000000000
1975-01-01,23.54389000000000000
1975-02-01,21.73560000000000000
1975-03-01,16.77165000000000000
1975-04-01,14.15455000000000000
1975-05-01,11.19293000000000000
1975-06-01,8.99280500000000000
1975-07-01,4.17536500000000000
1975-08-01,0.00000000000000000
1975-09-01,-4.47180800000000000
1975-10-01,-5.62378800000000000
1975-11-01,-4.83976500000000000
1975-12-01,-6.17529900000000000
1976-01-01,-8.56573700000000000
1976-02-01,-10.72618000000000000
1976-03-01,-10.92380000000000000
1976-04-01,-10.52279000000000000
1976-05-01,-11.25828000000000000
1976-06-01,-11.28713000000000000
1976-07-01,-8.35003400000000000
1976-08-01,-7.14767400000000000
1976-09-01,-5.35956600000000000
1976-10-01,-3.83561600000000000
1976-11-01,-2.88659800000000000
1976-12-01,0.00000000000000000
1977-01-01,2.97748700000000000
1977-02-01,6.86567200000000000
1977-03-01,9.08402700000000000
1977-04-01,8.31460700000000000
1977-05-01,9.62686500000000000
1977-06-01,9.97023800000000000
1977-07-01,9.40233200000000000
1977-08-01,9.65867800000000000
1977-09-01,9.60573500000000000
1977-10-01,8.54700900000000000
1977-11-01,7.85562600000000000
1977-12-01,7.85562600000000000
1978-01-01,5.85331400000000000
1978-02-01,3.21229100000000000
1978-03-01,2.91464300000000000
1978-04-01,2.83540800000000000
1978-05-01,1.56569100000000000
1978-06-01,2.16508800000000000
1978-07-01,1.53231200000000000
1978-08-01,1.25827800000000000
1978-09-01,1.50425100000000000
1978-10-01,3.08399000000000000
1978-11-01,3.08399000000000000
1978-12-01,1.50918600000000000
1979-01-01,2.19853400000000000
1979-02-01,2.84167800000000000
1979-03-01,3.43897500000000000
1979-04-01,4.70746500000000000
1979-05-01,4.95978500000000000
1979-06-01,5.56291400000000000
1979-07-01,7.02099800000000000
1979-08-01,8.76389800000000000
1979-09-01,8.05412400000000000
1979-10-01,7.32017800000000000
1979-11-01,8.21133000000000000
1979-12-01,11.70006000000000000
1980-01-01,11.73403000000000000
1980-02-01,12.10526000000000000
1980-03-01,12.32073000000000000
1980-04-01,11.23956000000000000
1980-05-01,12.70753000000000000
1980-06-01,11.85696000000000000
1980-07-01,11.58798000000000000
1980-08-01,10.28262000000000000
1980-09-01,10.73345000000000000
1980-10-01,11.20996000000000000
1980-11-01,11.64706000000000000
